book,url,bibtex
Time Series Econometrics Economics and Finance ,https://doi.org/10.1007/978-3-319-32862-1," @article{Neusser_2016, title={Time Series Econometrics}, ISBN={9783319328621}, ISSN={2192-4341}, url={http://dx.doi.org/10.1007/978-3-319-32862-1}, DOI={10.1007/978-3-319-32862-1}, journal={Springer Texts in Business and Economics}, publisher={Springer International Publishing}, author={Neusser, Klaus}, year={2016}}
"
Electrochemistry Chemistry and Materials Science ,https://doi.org/10.1007/978-3-642-30250-3," @article{Lefrou_2012, title={Electrochemistry}, ISBN={9783642302503}, url={http://dx.doi.org/10.1007/978-3-642-30250-3}, DOI={10.1007/978-3-642-30250-3}, publisher={Springer Berlin Heidelberg}, author={Lefrou, Christine and Fabry, Pierre and Poignet, Jean-Claude}, year={2012}}
"
Classical Fourier Analysis Mathematics and Statistics ,https://doi.org/10.1007/978-1-4939-1194-3," @article{Grafakos_2014, title={Classical Fourier Analysis}, ISBN={9781493911943}, ISSN={2197-5612}, url={http://dx.doi.org/10.1007/978-1-4939-1194-3}, DOI={10.1007/978-1-4939-1194-3}, journal={Graduate Texts in Mathematics}, publisher={Springer New York}, author={Grafakos, Loukas}, year={2014}}
"
Human Chromosomes Biomedical and Life Sciences ,https://doi.org/10.1007/978-1-4613-0139-4," @article{Miller_2001, title={Human Chromosomes}, ISBN={9781461301394}, url={http://dx.doi.org/10.1007/978-1-4613-0139-4}, DOI={10.1007/978-1-4613-0139-4}, publisher={Springer New York}, author={Miller, Orlando J. and Therman, Eeva}, year={2001}}
"
Phylogenomics Biomedical and Life Sciences ,https://doi.org/10.1007/978-3-319-54064-1," @article{Bleidorn_2017, title={Phylogenomics}, ISBN={9783319540641}, url={http://dx.doi.org/10.1007/978-3-319-54064-1}, DOI={10.1007/978-3-319-54064-1}, publisher={Springer International Publishing}, author={Bleidorn, Christoph}, year={2017}}
"
Quantum Theory for Mathematicians Mathematics and Statistics ,https://doi.org/10.1007/978-1-4614-7116-5," @article{Hall_2013, title={Quantum Theory for Mathematicians}, ISBN={9781461471165}, ISSN={2197-5612}, url={http://dx.doi.org/10.1007/978-1-4614-7116-5}, DOI={10.1007/978-1-4614-7116-5}, journal={Graduate Texts in Mathematics}, publisher={Springer New York}, author={Hall, Brian C.}, year={2013}}
"
Evidence-Based Critical Care Medicine ,https://doi.org/10.1007/978-3-319-43341-7," @article{2017, title={Evidence-Based Critical Care}, ISBN={9783319433417}, url={http://dx.doi.org/10.1007/978-3-319-43341-7}, DOI={10.1007/978-3-319-43341-7}, publisher={Springer International Publishing}, year={2017}}
"
Clinical Assessment of Child and Adolescent Personality and Behavior Behavioral Science ,https://doi.org/10.1007/978-1-4419-0641-0," @article{Frick_2010, title={Clinical Assessment of Child and Adolescent Personality and Behavior}, ISBN={9781441906410}, url={http://dx.doi.org/10.1007/978-1-4419-0641-0}, DOI={10.1007/978-1-4419-0641-0}, publisher={Springer US}, author={Frick, Paul J. and Barry, Christopher T. and Kamphaus, Randy W.}, year={2010}}
"
Design Research in Information Systems Business and Economics ,https://doi.org/10.1007/978-1-4419-5653-8," @article{Hevner_2010, title={Design Research in Information Systems}, ISBN={9781441956538}, ISSN={1571-0270}, url={http://dx.doi.org/10.1007/978-1-4419-5653-8}, DOI={10.1007/978-1-4419-5653-8}, journal={Integrated Series in Information Systems}, publisher={Springer US}, author={Hevner, Alan and Chatterjee, Samir}, year={2010}}
"
Intermediate Physics for Medicine and Biology Physics and Astronomy ,https://doi.org/10.1007/978-3-319-12682-1," @article{Hobbie_2015, title={Intermediate Physics for Medicine and Biology}, ISBN={9783319126821}, url={http://dx.doi.org/10.1007/978-3-319-12682-1}, DOI={10.1007/978-3-319-12682-1}, publisher={Springer International Publishing}, author={Hobbie, Russell K. and Roth, Bradley J.}, year={2015}}
"
Principles of Data Mining Computer Science ,https://doi.org/10.1007/978-1-4471-7307-6," @article{Bramer_2016, title={Principles of Data Mining}, ISBN={9781447173076}, ISSN={2197-1781}, url={http://dx.doi.org/10.1007/978-1-4471-7307-6}, DOI={10.1007/978-1-4471-7307-6}, journal={Undergraduate Topics in Computer Science}, publisher={Springer London}, author={Bramer, Max}, year={2016}}
"
Fundamental Astronomy Physics and Astronomy ,https://doi.org/10.1007/978-3-662-53045-0," @article{2017, title={Fundamental Astronomy}, ISBN={9783662530450}, url={http://dx.doi.org/10.1007/978-3-662-53045-0}, DOI={10.1007/978-3-662-53045-0}, publisher={Springer Berlin Heidelberg}, year={2017}}
"
Fundamentals of Business Process Management Computer Science ,https://doi.org/10.1007/978-3-662-56509-4," @article{Dumas_2018, title={Fundamentals of Business Process Management}, ISBN={9783662565094}, url={http://dx.doi.org/10.1007/978-3-662-56509-4}, DOI={10.1007/978-3-662-56509-4}, publisher={Springer Berlin Heidelberg}, author={Dumas, Marlon and La Rosa, Marcello and Mendling, Jan and Reijers, Hajo A.}, year={2018}}
"
"Brownian Motion, Martingales, and Stochastic Calculus Mathematics and Statistics ",https://doi.org/10.1007/978-3-319-31089-3," @article{Le_Gall_2016, title={Brownian Motion, Martingales, and Stochastic Calculus}, ISBN={9783319310893}, ISSN={2197-5612}, url={http://dx.doi.org/10.1007/978-3-319-31089-3}, DOI={10.1007/978-3-319-31089-3}, journal={Graduate Texts in Mathematics}, publisher={Springer International Publishing}, author={Le Gall, Jean-FranÃ§ois}, year={2016}}
"
UML @ Classroom Computer Science ,https://doi.org/10.1007/978-3-319-12742-2," @article{Seidl_2015, title={UML @ Classroom}, ISBN={9783319127422}, ISSN={2197-1781}, url={http://dx.doi.org/10.1007/978-3-319-12742-2}, DOI={10.1007/978-3-319-12742-2}, journal={Undergraduate Topics in Computer Science}, publisher={Springer International Publishing}, author={Seidl, Martina and Scholz, Marion and Huemer, Christian and Kappel, Gerti}, year={2015}}
"
Design and Analysis of Experiments Mathematics and Statistics ,https://doi.org/10.1007/978-3-319-52250-0," @article{Dean_2017, title={Design and Analysis of Experiments}, ISBN={9783319522500}, ISSN={2197-4136}, url={http://dx.doi.org/10.1007/978-3-319-52250-0}, DOI={10.1007/978-3-319-52250-0}, journal={Springer Texts in Statistics}, publisher={Springer International Publishing}, author={Dean, Angela and Voss, Daniel and DraguljiÄ, Danel}, year={2017}}
"
Foundations for Designing User-Centered Systems Computer Science ,https://doi.org/10.1007/978-1-4471-5134-0," @article{Ritter_2014, title={Foundations for Designing User-Centered Systems}, ISBN={9781447151340}, url={http://dx.doi.org/10.1007/978-1-4471-5134-0}, DOI={10.1007/978-1-4471-5134-0}, publisher={Springer London}, author={Ritter, Frank E. and Baxter, Gordon D. and Churchill, Elizabeth F.}, year={2014}}
"
Handbook of Consumer Finance Research Behavioral Science and Psychology ,https://doi.org/10.1007/978-3-319-28887-1," @article{2016, title={Handbook of Consumer Finance Research}, ISBN={9783319288871}, url={http://dx.doi.org/10.1007/978-3-319-28887-1}, DOI={10.1007/978-3-319-28887-1}, publisher={Springer International Publishing}, year={2016}}
"
Principles of Terrestrial Ecosystem Ecology Biomedical and Life Sciences ,https://doi.org/10.1007/978-1-4419-9504-9," @article{Chapin_2011, title={Principles of Terrestrial Ecosystem Ecology}, ISBN={9781441995049}, url={http://dx.doi.org/10.1007/978-1-4419-9504-9}, DOI={10.1007/978-1-4419-9504-9}, publisher={Springer New York}, author={Chapin, F. Stuart and Matson, Pamela A. and Vitousek, Peter M.}, year={2011}}
"
Applied Multivariate Statistical Analysis Mathematics and Statistics ,https://doi.org/10.1007/978-3-662-45171-7," @article{H_rdle_2015, title={Applied Multivariate Statistical Analysis}, ISBN={9783662451717}, url={http://dx.doi.org/10.1007/978-3-662-45171-7}, DOI={10.1007/978-3-662-45171-7}, publisher={Springer Berlin Heidelberg}, author={HÃ¤rdle, Wolfgang Karl and Simar, LÃ©opold}, year={2015}}
"
Strategic International Management Business and Economics ,https://doi.org/10.1007/978-3-658-07884-3," @article{Morschett_2015, title={Strategic International Management}, ISBN={9783658078843}, url={http://dx.doi.org/10.1007/978-3-658-07884-3}, DOI={10.1007/978-3-658-07884-3}, publisher={Springer Fachmedien Wiesbaden}, author={Morschett, Dirk and Schramm-Klein, Hanna and Zentes, Joachim}, year={2015}}
"
Computer Vision Computer Science ,https://doi.org/10.1007/978-1-84882-935-0," @article{Szeliski_2011, title={Computer Vision}, ISBN={9781848829350}, ISSN={1868-095X}, url={http://dx.doi.org/10.1007/978-1-84882-935-0}, DOI={10.1007/978-1-84882-935-0}, journal={Texts in Computer Science}, publisher={Springer London}, author={Szeliski, Richard}, year={2011}}
"
Engineering Electromagnetics Engineering ,https://doi.org/10.1007/978-3-319-07806-9," @article{Ida_2015, title={Engineering Electromagnetics}, ISBN={9783319078069}, url={http://dx.doi.org/10.1007/978-3-319-07806-9}, DOI={10.1007/978-3-319-07806-9}, publisher={Springer International Publishing}, author={Ida, Nathan}, year={2015}}
"
Data Mining Computer Science ,https://doi.org/10.1007/978-3-319-14142-8," @article{Aggarwal_2015, title={Data Mining}, ISBN={9783319141428}, url={http://dx.doi.org/10.1007/978-3-319-14142-8}, DOI={10.1007/978-3-319-14142-8}, publisher={Springer International Publishing}, author={Aggarwal, Charu C.}, year={2015}}
"
International Trade Theory and Policy Business and Economics ,https://doi.org/10.1007/978-3-642-37314-5," @article{Gandolfo_2014, title={International Trade Theory and Policy}, ISBN={9783642373145}, ISSN={2192-4341}, url={http://dx.doi.org/10.1007/978-3-642-37314-5}, DOI={10.1007/978-3-642-37314-5}, journal={Springer Texts in Business and Economics}, publisher={Springer Berlin Heidelberg}, author={Gandolfo, Giancarlo}, year={2014}}
"
Alternative Energy Sources Engineering ,https://doi.org/10.1007/978-3-642-20951-2," @article{Michaelides_2012, title={Alternative Energy Sources}, ISBN={9783642209512}, ISSN={1865-3537}, url={http://dx.doi.org/10.1007/978-3-642-20951-2}, DOI={10.1007/978-3-642-20951-2}, journal={Green Energy and Technology}, publisher={Springer Berlin Heidelberg}, author={Michaelides, Efstathios E.}, year={2012}}
"
Introduction to Electronic Commerce and Social Commerce Business and Management ,https://doi.org/10.1007/978-3-319-50091-1," @article{Turban_2017, title={Introduction to Electronic Commerce and Social Commerce}, ISBN={9783319500911}, ISSN={2192-4341}, url={http://dx.doi.org/10.1007/978-3-319-50091-1}, DOI={10.1007/978-3-319-50091-1}, journal={Springer Texts in Business and Economics}, publisher={Springer International Publishing}, author={Turban, Efraim and Whiteside, Judy and King, David and Outland, Jon}, year={2017}}
"
Computational Geometry Computer Science ,https://doi.org/10.1007/978-3-540-77974-2," @article{de_Berg_2008, title={Computational Geometry}, ISBN={9783540779742}, url={http://dx.doi.org/10.1007/978-3-540-77974-2}, DOI={10.1007/978-3-540-77974-2}, publisher={Springer Berlin Heidelberg}, author={de Berg, Mark and Cheong, Otfried and van Kreveld, Marc and Overmars, Mark}, year={2008}}
"
Elementary Mechanics Using Python Physics and Astronomy ,https://doi.org/10.1007/978-3-319-19596-4," @article{Malthe_S_renssen_2015, title={Elementary Mechanics Using Python}, ISBN={9783319195964}, ISSN={2192-4805}, url={http://dx.doi.org/10.1007/978-3-319-19596-4}, DOI={10.1007/978-3-319-19596-4}, journal={Undergraduate Lecture Notes in Physics}, publisher={Springer International Publishing}, author={Malthe-SÃ¸renssen, Anders}, year={2015}}
"
Energy Economics Energy ,https://doi.org/10.1007/978-3-662-53022-1," @article{Zweifel_2017, title={Energy Economics}, ISBN={9783662530221}, ISSN={2192-4341}, url={http://dx.doi.org/10.1007/978-3-662-53022-1}, DOI={10.1007/978-3-662-53022-1}, journal={Springer Texts in Business and Economics}, publisher={Springer Berlin Heidelberg}, author={Zweifel, Peter and Praktiknjo, Aaron and Erdmann, Georg}, year={2017}}
"
Biomedical Informatics Medicine ,https://doi.org/10.1007/978-1-4471-4474-8," @article{2014, title={Biomedical Informatics}, ISBN={9781447144748}, url={http://dx.doi.org/10.1007/978-1-4471-4474-8}, DOI={10.1007/978-1-4471-4474-8}, publisher={Springer London}, year={2014}}
"
"Robotics, Vision and Control Engineering ",https://doi.org/10.1007/978-3-642-20144-8," @article{Corke_2011, title={Robotics, Vision and Control}, ISBN={9783642201448}, ISSN={1610-742X}, url={http://dx.doi.org/10.1007/978-3-642-20144-8}, DOI={10.1007/978-3-642-20144-8}, journal={Springer Tracts in Advanced Robotics}, publisher={Springer Berlin Heidelberg}, author={Corke, Peter}, year={2011}}
"
Acid-Base Diagrams Chemistry and Materials Science ,https://doi.org/10.1007/978-3-642-37902-4," @article{Kahlert_2013, title={Acid-Base Diagrams}, ISBN={9783642379024}, url={http://dx.doi.org/10.1007/978-3-642-37902-4}, DOI={10.1007/978-3-642-37902-4}, publisher={Springer Berlin Heidelberg}, author={Kahlert, Heike and Scholz, Fritz}, year={2013}}
"
Brewing Science: A Multidisciplinary Approach Chemistry and Materials Science ,https://doi.org/10.1007/978-3-319-46394-0," @article{Mosher_2017, title={Brewing Science: A Multidisciplinary Approach}, ISBN={9783319463940}, url={http://dx.doi.org/10.1007/978-3-319-46394-0}, DOI={10.1007/978-3-319-46394-0}, publisher={Springer International Publishing}, author={Mosher, Michael and Trantham, Kenneth}, year={2017}}
"
Learning Landscape Ecology Biomedical and Life Sciences ,https://doi.org/10.1007/978-1-4939-6374-4," @article{2017, title={Learning Landscape Ecology}, ISBN={9781493963744}, url={http://dx.doi.org/10.1007/978-1-4939-6374-4}, DOI={10.1007/978-1-4939-6374-4}, publisher={Springer New York}, year={2017}}
"
Probability Mathematics and Statistics ,https://doi.org/10.1007/978-1-4612-4374-8," @article{Pitman_1993, title={Probability}, ISBN={9781461243748}, url={http://dx.doi.org/10.1007/978-1-4612-4374-8}, DOI={10.1007/978-1-4612-4374-8}, publisher={Springer New York}, author={Pitman, Jim}, year={1993}}
"
Modeling Life Mathematics and Statistics ,https://doi.org/10.1007/978-3-319-59731-7," @article{Garfinkel_2017, title={Modeling Life}, ISBN={9783319597317}, url={http://dx.doi.org/10.1007/978-3-319-59731-7}, DOI={10.1007/978-3-319-59731-7}, publisher={Springer International Publishing}, author={Garfinkel, Alan and Shevtsov, Jane and Guo, Yina}, year={2017}}
"
Introduction to Plasma Physics and Controlled Fusion Physics and Astronomy ,https://doi.org/10.1007/978-3-319-22309-4," @article{Chen_2016, title={Introduction to Plasma Physics and Controlled Fusion}, ISBN={9783319223094}, url={http://dx.doi.org/10.1007/978-3-319-22309-4}, DOI={10.1007/978-3-319-22309-4}, publisher={Springer International Publishing}, author={Chen, Francis F.}, year={2016}}
"
Engineering Mechanics 1 Engineering ,https://doi.org/10.1007/978-3-642-30319-7," @article{Gross_2013, title={Engineering Mechanics 1}, ISBN={9783642303197}, url={http://dx.doi.org/10.1007/978-3-642-30319-7}, DOI={10.1007/978-3-642-30319-7}, publisher={Springer Berlin Heidelberg}, author={Gross, Dietmar and Hauger, Werner and SchrÃ¶der, JÃ¶rg and Wall, Wolfgang A. and Rajapakse, Nimal}, year={2013}}
"
Business Statistics for Competitive Advantage with Excel 2016 Mathematics and Statistics ,https://doi.org/10.1007/978-3-319-32185-1," @article{Fraser_2016, title={Business Statistics for Competitive Advantage with Excel 2016}, ISBN={9783319321851}, url={http://dx.doi.org/10.1007/978-3-319-32185-1}, DOI={10.1007/978-3-319-32185-1}, publisher={Springer International Publishing}, author={Fraser, Cynthia}, year={2016}}
"
Principles of Polymer Chemistry Chemistry and Materials Science ,https://doi.org/10.1007/978-1-4614-2212-9," @article{Ravve_2012, title={Principles of Polymer Chemistry}, ISBN={9781461422129}, url={http://dx.doi.org/10.1007/978-1-4614-2212-9}, DOI={10.1007/978-1-4614-2212-9}, publisher={Springer New York}, author={Ravve, A.}, year={2012}}
"
A Primer on Scientific Programming with Python Mathematics and Statistics ,https://doi.org/10.1007/978-3-662-49887-3," @article{Langtangen_2016, title={A Primer on Scientific Programming with Python}, ISBN={9783662498873}, ISSN={2197-179X}, url={http://dx.doi.org/10.1007/978-3-662-49887-3}, DOI={10.1007/978-3-662-49887-3}, journal={Texts in Computational Science and Engineering}, publisher={Springer Berlin Heidelberg}, author={Langtangen, Hans Petter}, year={2016}}
"
Climate Change Science: A Modern Synthesis Earth and Environmental Science ,https://doi.org/10.1007/978-94-007-5757-8," @article{Farmer_2013, title={Climate Change Science: A Modern Synthesis}, ISBN={9789400757578}, url={http://dx.doi.org/10.1007/978-94-007-5757-8}, DOI={10.1007/978-94-007-5757-8}, publisher={Springer Netherlands}, author={Farmer, G. Thomas and Cook, John}, year={2013}}
"
Solar PV and Wind Energy Conversion Systems Energy ,https://doi.org/10.1007/978-3-319-14941-7," @article{Sumathi_2015, title={Solar PV and Wind Energy Conversion Systems}, ISBN={9783319149417}, ISSN={1865-3537}, url={http://dx.doi.org/10.1007/978-3-319-14941-7}, DOI={10.1007/978-3-319-14941-7}, journal={Green Energy and Technology}, publisher={Springer International Publishing}, author={Sumathi, S. and Ashok Kumar, L. and Surekha, P.}, year={2015}}
"
Statistical Analysis and Data Display Mathematics and Statistics ,https://doi.org/10.1007/978-1-4939-2122-5," @article{Heiberger_2015, title={Statistical Analysis and Data Display}, ISBN={9781493921225}, ISSN={2197-4136}, url={http://dx.doi.org/10.1007/978-1-4939-2122-5}, DOI={10.1007/978-1-4939-2122-5}, journal={Springer Texts in Statistics}, publisher={Springer New York}, author={Heiberger, Richard M. and Holland, Burt}, year={2015}}
"
Business Process Management Cases Business and Management ,https://doi.org/10.1007/978-3-319-58307-5," @article{2018, title={Business Process Management Cases}, ISBN={9783319583075}, ISSN={2192-810X}, url={http://dx.doi.org/10.1007/978-3-319-58307-5}, DOI={10.1007/978-3-319-58307-5}, journal={Management for Professionals}, publisher={Springer International Publishing}, year={2018}}
"
Elementary Analysis Mathematics and Statistics ,https://doi.org/10.1007/978-1-4614-6271-2," @article{Ross_2013, title={Elementary Analysis}, ISBN={9781461462712}, ISSN={0172-6056}, url={http://dx.doi.org/10.1007/978-1-4614-6271-2}, DOI={10.1007/978-1-4614-6271-2}, journal={Undergraduate Texts in Mathematics}, publisher={Springer New York}, author={Ross, Kenneth A.}, year={2013}}
"
Cryptography Made Simple Computer Science ,https://doi.org/10.1007/978-3-319-21936-3," @article{Smart_2016, title={Cryptography Made Simple}, ISBN={9783319219363}, ISSN={2197-845X}, url={http://dx.doi.org/10.1007/978-3-319-21936-3}, DOI={10.1007/978-3-319-21936-3}, journal={Information Security and Cryptography}, publisher={Springer International Publishing}, author={Smart, Nigel P.}, year={2016}}
"
Fluid Dynamics Physics and Astronomy ,https://doi.org/10.1007/978-3-319-09351-2," @article{Rieutord_2015, title={Fluid Dynamics}, ISBN={9783319093512}, ISSN={1868-4521}, url={http://dx.doi.org/10.1007/978-3-319-09351-2}, DOI={10.1007/978-3-319-09351-2}, journal={Graduate Texts in Physics}, publisher={Springer International Publishing}, author={Rieutord, Michel}, year={2015}}
"
Social Media Management Business and Management ,https://doi.org/10.1007/978-3-319-21990-5," @article{Van_Looy_2016, title={Social Media Management}, ISBN={9783319219905}, ISSN={2192-4341}, url={http://dx.doi.org/10.1007/978-3-319-21990-5}, DOI={10.1007/978-3-319-21990-5}, journal={Springer Texts in Business and Economics}, publisher={Springer International Publishing}, author={Van Looy, Amy}, year={2016}}
"
"Statistics in Criminal Justice Humanities, Social Sciences and Law ",https://doi.org/10.1007/978-1-4614-9170-5," @article{Weisburd_2014, title={Statistics in Criminal Justice}, ISBN={9781461491705}, url={http://dx.doi.org/10.1007/978-1-4614-9170-5}, DOI={10.1007/978-1-4614-9170-5}, publisher={Springer US}, author={Weisburd, David and Britt, Chester}, year={2014}}
"
Supply Chain Management and Advanced Planning Business and Economics ,https://doi.org/10.1007/978-3-642-55309-7," @article{2015, title={Supply Chain Management and Advanced Planning}, ISBN={9783642553097}, ISSN={2192-4341}, url={http://dx.doi.org/10.1007/978-3-642-55309-7}, DOI={10.1007/978-3-642-55309-7}, journal={Springer Texts in Business and Economics}, publisher={Springer Berlin Heidelberg}, year={2015}}
"
Probability Theory Mathematics and Statistics ,https://doi.org/10.1007/978-1-4471-5361-0," @article{Klenke_2014, title={Probability Theory}, ISBN={9781447153610}, ISSN={2191-6675}, url={http://dx.doi.org/10.1007/978-1-4471-5361-0}, DOI={10.1007/978-1-4471-5361-0}, journal={Universitext}, publisher={Springer London}, author={Klenke, Achim}, year={2014}}
"
Statistics and Data Analysis for Financial Engineering Mathematics and Statistics ,https://doi.org/10.1007/978-1-4939-2614-5," @article{Ruppert_2015, title={Statistics and Data Analysis for Financial Engineering}, ISBN={9781493926145}, ISSN={2197-4136}, url={http://dx.doi.org/10.1007/978-1-4939-2614-5}, DOI={10.1007/978-1-4939-2614-5}, journal={Springer Texts in Statistics}, publisher={Springer New York}, author={Ruppert, David and Matteson, David S.}, year={2015}}
"
Readings in Formal Epistemology Religion and Philosophy ,https://doi.org/10.1007/978-3-319-20451-2," @article{2016, title={Readings in Formal Epistemology}, ISBN={9783319204512}, url={http://dx.doi.org/10.1007/978-3-319-20451-2}, DOI={10.1007/978-3-319-20451-2}, publisher={Springer International Publishing}, year={2016}}
"
Differential Equations and Their Applications Mathematics and Statistics ,https://doi.org/10.1007/978-1-4612-4360-1," @article{Braun_1993, title={Differential Equations and Their Applications}, ISBN={9781461243601}, ISSN={2196-9949}, url={http://dx.doi.org/10.1007/978-1-4612-4360-1}, DOI={10.1007/978-1-4612-4360-1}, journal={Texts in Applied Mathematics}, publisher={Springer New York}, author={Braun, Martin}, year={1993}}
"
Nanotechnology: Principles and Practices Chemistry and Materials Science ,https://doi.org/10.1007/978-3-319-09171-6," @article{Kulkarni_2015, title={Nanotechnology: Principles and Practices}, ISBN={9783319091716}, url={http://dx.doi.org/10.1007/978-3-319-09171-6}, DOI={10.1007/978-3-319-09171-6}, publisher={Springer International Publishing}, author={Kulkarni, Sulabha K.}, year={2015}}
"
Epidemiological Research: Terms and Concepts Biomedical and Life Sciences ,https://doi.org/10.1007/978-94-007-1171-6," @article{Miettinen_2011, title={Epidemiological Research: Terms and Concepts}, ISBN={9789400711716}, url={http://dx.doi.org/10.1007/978-94-007-1171-6}, DOI={10.1007/978-94-007-1171-6}, publisher={Springer Netherlands}, author={Miettinen, O. S.}, year={2011}}
"
Multinational Management Business and Management ,https://doi.org/10.1007/978-3-319-23012-2," @article{2016, title={Multinational Management}, ISBN={9783319230122}, url={http://dx.doi.org/10.1007/978-3-319-23012-2}, DOI={10.1007/978-3-319-23012-2}, publisher={Springer International Publishing}, year={2016}}
"
Partial Differential Equations Mathematics and Statistics ,https://doi.org/10.1007/978-1-4614-4809-9," @article{Jost_2013, title={Partial Differential Equations}, ISBN={9781461448099}, ISSN={2197-5612}, url={http://dx.doi.org/10.1007/978-1-4614-4809-9}, DOI={10.1007/978-1-4614-4809-9}, journal={Graduate Texts in Mathematics}, publisher={Springer New York}, author={Jost, JÃ¼rgen}, year={2013}}
"
Bayesian and Frequentist Regression Methods Mathematics and Statistics ,https://doi.org/10.1007/978-1-4419-0925-1," @article{Wakefield_2013, title={Bayesian and Frequentist Regression Methods}, ISBN={9781441909251}, ISSN={0172-7397}, url={http://dx.doi.org/10.1007/978-1-4419-0925-1}, DOI={10.1007/978-1-4419-0925-1}, journal={Springer Series in Statistics}, publisher={Springer New York}, author={Wakefield, Jon}, year={2013}}
"
Basic Concepts in Computational Physics Physics and Astronomy ,https://doi.org/10.1007/978-3-319-27265-8," @article{Stickler_2016, title={Basic Concepts in Computational Physics}, ISBN={9783319272658}, url={http://dx.doi.org/10.1007/978-3-319-27265-8}, DOI={10.1007/978-3-319-27265-8}, publisher={Springer International Publishing}, author={Stickler, Benjamin A. and Schachinger, Ewald}, year={2016}}
"
Eye Tracking Methodology Computer Science ,https://doi.org/10.1007/978-3-319-57883-5," @article{Duchowski_2017, title={Eye Tracking Methodology}, ISBN={9783319578835}, url={http://dx.doi.org/10.1007/978-3-319-57883-5}, DOI={10.1007/978-3-319-57883-5}, publisher={Springer International Publishing}, author={Duchowski, Andrew T.}, year={2017}}
"
Writing for Publication Education ,https://doi.org/10.1007/978-3-319-31650-5," @article{Renck_Jalongo_2016, title={Writing for Publication}, ISBN={9783319316505}, ISSN={2366-7672}, url={http://dx.doi.org/10.1007/978-3-319-31650-5}, DOI={10.1007/978-3-319-31650-5}, journal={Springer Texts in Education}, publisher={Springer International Publishing}, author={Renck Jalongo, Mary and Saracho, Olivia N.}, year={2016}}
"
Mathematical Physics Physics and Astronomy ,https://doi.org/10.1007/978-3-319-01195-0," @article{Hassani_2013, title={Mathematical Physics}, ISBN={9783319011950}, url={http://dx.doi.org/10.1007/978-3-319-01195-0}, DOI={10.1007/978-3-319-01195-0}, publisher={Springer International Publishing}, author={Hassani, Sadri}, year={2013}}
"
Correctional Counseling and Treatment Law and Criminology ,https://doi.org/10.1007/978-3-319-54349-9," @article{Kratcoski_2017, title={Correctional Counseling and Treatment}, ISBN={9783319543499}, url={http://dx.doi.org/10.1007/978-3-319-54349-9}, DOI={10.1007/978-3-319-54349-9}, publisher={Springer International Publishing}, author={Kratcoski, Peter C.}, year={2017}}
"
Thermodynamics and Energy Conversion Engineering ,https://doi.org/10.1007/978-3-662-43715-5," @article{Struchtrup_2014, title={Thermodynamics and Energy Conversion}, ISBN={9783662437155}, url={http://dx.doi.org/10.1007/978-3-662-43715-5}, DOI={10.1007/978-3-662-43715-5}, publisher={Springer Berlin Heidelberg}, author={Struchtrup, Henning}, year={2014}}
"
"The Action Research Planner Humanities, Social Sciences and Law ",https://doi.org/10.1007/978-981-4560-67-2," @article{Kemmis_2014, title={The Action Research Planner}, ISBN={9789814560672}, url={http://dx.doi.org/10.1007/978-981-4560-67-2}, DOI={10.1007/978-981-4560-67-2}, publisher={Springer Singapore}, author={Kemmis, Stephen and McTaggart, Robin and Nixon, Rhonda}, year={2014}}
"
Stochastic Processes and Calculus Economics and Finance ,https://doi.org/10.1007/978-3-319-23428-1," @article{Hassler_2016, title={Stochastic Processes and Calculus}, ISBN={9783319234281}, ISSN={2192-4341}, url={http://dx.doi.org/10.1007/978-3-319-23428-1}, DOI={10.1007/978-3-319-23428-1}, journal={Springer Texts in Business and Economics}, publisher={Springer International Publishing}, author={Hassler, Uwe}, year={2016}}
"
Statistical Analysis of Clinical Data on a Pocket Calculator Biomedical and Life Sciences ,https://doi.org/10.1007/978-94-007-1211-9," @article{Cleophas_2011, title={Statistical Analysis of Clinical Data on a Pocket Calculator}, ISBN={9789400712119}, url={http://dx.doi.org/10.1007/978-94-007-1211-9}, DOI={10.1007/978-94-007-1211-9}, publisher={Springer Netherlands}, author={Cleophas, Ton J. and Zwinderman, Aeilko H.}, year={2011}}
"
Clinical Data Analysis on a Pocket Calculator Biomedical and Life Sciences ,https://doi.org/10.1007/978-3-319-27104-0," @article{Cleophas_2016, title={Clinical Data Analysis on a Pocket Calculator}, ISBN={9783319271040}, url={http://dx.doi.org/10.1007/978-3-319-27104-0}, DOI={10.1007/978-3-319-27104-0}, publisher={Springer International Publishing}, author={Cleophas, Ton J. and Zwinderman, Aeilko H.}, year={2016}}
"
The Data Science Design Manual Computer Science ,https://doi.org/10.1007/978-3-319-55444-0," @article{Skiena_2017, title={The Data Science Design Manual}, ISBN={9783319554440}, ISSN={1868-095X}, url={http://dx.doi.org/10.1007/978-3-319-55444-0}, DOI={10.1007/978-3-319-55444-0}, journal={Texts in Computer Science}, publisher={Springer International Publishing}, author={Skiena, Steven S.}, year={2017}}
"
An Introduction to Machine Learning Computer Science ,https://doi.org/10.1007/978-3-319-63913-0," @article{Kubat_2017, title={An Introduction to Machine Learning}, ISBN={9783319639130}, url={http://dx.doi.org/10.1007/978-3-319-63913-0}, DOI={10.1007/978-3-319-63913-0}, publisher={Springer International Publishing}, author={Kubat, Miroslav}, year={2017}}
"
